Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-7.8e-07,0.0020105969,0.69753479,-5.7251e-05,0.00011992,7958.6593978405,"03 04 2019, 20_00_56"
-1.299e-06,0.0020104951,0.69746726,-5.7654e-05,0.000119933,7960.252312660217,"03 04 2019, 20_00_57"
-1.689e-06,0.0020106986,0.69750752,-5.7667e-05,0.000120154,7961.8498458862305,"03 04 2019, 20_00_59"
-1.3e-07,0.0020105206,0.69753739,-5.7745e-05,0.000119583,7963.450078248978,"03 04 2019, 20_01_00"
-1.3e-07,0.0020107241,0.69758025,-5.7706e-05,0.000120414,7965.04062628746,"03 04 2019, 20_01_02"
-3.9e-07,0.0020108258,0.69756337,-5.7914e-05,0.000120401,7966.6351573467255,"03 04 2019, 20_01_04"
-2.6e-07,0.0020107241,0.69751921,-5.7654e-05,0.000120453,7968.240040063858,"03 04 2019, 20_01_05"
1.3e-07,0.0020106223,0.69749583,-5.7407e-05,0.000120297,7969.834450960159,"03 04 2019, 20_01_07"
-1.3e-07,0.0020106986,0.69755038,-5.7186e-05,0.000119972,7971.429525375366,"03 04 2019, 20_01_08"
-1.169e-06,0.0020104951,0.69758934,-5.7485e-05,0.000119686,7973.034686326981,"03 04 2019, 20_01_10"
-2.6e-07,0.0020107749,0.69748804,-5.7927e-05,0.000120167,7974.62838101387,"03 04 2019, 20_01_12"
-1.04e-06,0.0020106478,0.697527,-5.7732e-05,0.00012057,7976.226943731308,"03 04 2019, 20_01_13"
-6.5e-07,0.0020107241,0.69750882,-5.7212e-05,0.000120115,7977.829616069794,"03 04 2019, 20_01_15"
-3.9e-07,0.0020105206,0.69747765,-5.7862e-05,0.000119985,7979.419990301132,"03 04 2019, 20_01_16"
-1.3e-07,0.0020106223,0.69751401,-5.7459e-05,0.000119933,7981.024116277695,"03 04 2019, 20_01_18"
-7.8e-07,0.0020108004,0.69758155,-5.8083e-05,0.000120063,7982.620634555817,"03 04 2019, 20_01_20"
0.0,0.0020107241,0.69752181,-5.781e-05,0.000119751,7984.214806318283,"03 04 2019, 20_01_21"
-6.5e-07,0.0020107241,0.69756726,-5.7459e-05,0.000119985,7985.809638738632,"03 04 2019, 20_01_23"
-1.299e-06,0.0020106732,0.69753999,-5.7589e-05,0.000119453,7987.3996794223785,"03 04 2019, 20_01_24"
-9.1e-07,0.0020106478,0.69751271,-5.7563e-05,0.000119829,7988.999399185181,"03 04 2019, 20_01_26"
-5.2e-07,0.0020104188,0.69753999,-5.7381e-05,0.000120154,7990.589626550674,"03 04 2019, 20_01_28"
-5.2e-07,0.0020106732,0.69756207,-5.7927e-05,0.000119608,7992.190104961395,"03 04 2019, 20_01_29"
-5.2e-07,0.0020107495,0.69753999,-5.7381e-05,0.000119621,7993.790162563324,"03 04 2019, 20_01_31"
-1.04e-06,0.0020106986,0.69755687,-5.7719e-05,0.000119492,7995.389278650284,"03 04 2019, 20_01_32"
-3.9e-07,0.0020106986,0.69755427,-5.7511e-05,0.00011979,7996.986730337143,"03 04 2019, 20_01_34"
-7.8e-07,0.0020105206,0.69749323,-5.8044e-05,0.00011966,7998.583966493607,"03 04 2019, 20_01_36"
-3.9e-07,0.0020107749,0.69751401,-5.7706e-05,0.000119492,8000.175842046738,"03 04 2019, 20_01_37"
-2.6e-07,0.0020107495,0.69753869,-5.7771e-05,0.000119712,8001.776549816132,"03 04 2019, 20_01_39"
0.0,0.0020106732,0.69749323,-5.7927e-05,0.000119855,8003.378872394562,"03 04 2019, 20_01_40"
-6.5e-07,0.0020108004,0.69747635,-5.7485e-05,0.000119583,8004.979732513428,"03 04 2019, 20_01_42"
-5.2e-07,0.0020105714,0.69744777,-5.7758e-05,0.000119284,8006.573788166046,"03 04 2019, 20_01_44"
-1.04e-06,0.0020105714,0.6975283,-5.7394e-05,0.000119596,8008.175292015076,"03 04 2019, 20_01_45"
-3.9e-07,0.0020103934,0.69751401,-5.7979e-05,0.000118738,8009.768243312836,"03 04 2019, 20_01_47"
-3.9e-07,0.0020108004,0.69749063,-5.7589e-05,0.000119453,8011.367987155914,"03 04 2019, 20_01_48"
-1.429e-06,0.0020104443,0.69744647,-5.7927e-05,0.000118985,8012.960539102554,"03 04 2019, 20_01_50"
-1.429e-06,0.0020104188,0.69749193,-5.7615e-05,0.000119141,8014.55969285965,"03 04 2019, 20_01_51"
-3.9e-07,0.0020105206,0.69751661,-5.7407e-05,0.000119375,8016.150207281113,"03 04 2019, 20_01_53"
-5.2e-07,0.002010368,0.69750492,-5.7706e-05,0.000118829,8017.746488809586,"03 04 2019, 20_01_55"
-3.9e-07,0.0020104443,0.69750232,-5.7641e-05,0.000119647,8019.349687337875,"03 04 2019, 20_01_56"
-1.04e-06,0.0020106478,0.69749583,-5.7784e-05,0.000118764,8020.9398720264435,"03 04 2019, 20_01_58"
-6.5e-07,0.0020108258,0.69749453,-5.7329e-05,0.000119427,8022.544285535812,"03 04 2019, 20_01_59"
1.3e-07,0.0020104443,0.69750102,-5.781e-05,0.00011944,8024.139896154404,"03 04 2019, 20_02_01"
-7.8e-07,0.0020107749,0.69753999,-5.7797e-05,0.000119232,8025.74009680748,"03 04 2019, 20_02_03"
-1.169e-06,0.0020104443,0.69749713,-5.7849e-05,0.000119089,8027.330781459808,"03 04 2019, 20_02_04"
-7.8e-07,0.0020107495,0.69753869,-5.794e-05,0.000119907,8028.935763597488,"03 04 2019, 20_02_06"
0.0,0.0020107241,0.69746206,-5.7823e-05,0.00011944,8030.528591632843,"03 04 2019, 20_02_07"
-5.2e-07,0.0020106223,0.6975283,-5.7797e-05,0.000119505,8032.123094081879,"03 04 2019, 20_02_09"
-9.1e-07,0.0020107241,0.69754129,-5.7836e-05,0.000119414,8033.7199177742,"03 04 2019, 20_02_11"
-6.5e-07,0.0020108767,0.6975309,-5.7641e-05,0.00011918,8035.318217277527,"03 04 2019, 20_02_12"
-3.9e-07,0.0020109021,0.69750622,-5.8122e-05,0.000119206,8036.918071269989,"03 04 2019, 20_02_14"
-7.8e-07,0.0020108512,0.69756596,-5.7745e-05,0.000119933,8038.5154502391815,"03 04 2019, 20_02_15"
-1.3e-07,0.0020105714,0.69750752,-5.7641e-05,0.000119297,8040.1113793849945,"03 04 2019, 20_02_17"
-3.9e-07,0.0020108004,0.6975322,-5.7862e-05,0.000119686,8041.708868980408,"03 04 2019, 20_02_19"
-6.5e-07,0.0020105714,0.69751141,-5.7654e-05,0.000119349,8043.305184602737,"03 04 2019, 20_02_20"
-7.8e-07,0.0020105969,0.69755947,-5.768e-05,0.000119271,8044.902366399765,"03 04 2019, 20_02_22"
-1.04e-06,0.0020106478,0.69760753,-5.7875e-05,0.000119349,8046.5002319812775,"03 04 2019, 20_02_23"
-5.2e-07,0.0020108258,0.69751531,-5.781e-05,0.000119621,8048.0993394851685,"03 04 2019, 20_02_25"
-1.299e-06,0.002010546,0.69754518,-5.8225e-05,0.000119232,8049.697466611862,"03 04 2019, 20_02_27"
-5.2e-07,0.0020106478,0.69753479,-5.8031e-05,0.00012018,8051.2946519851685,"03 04 2019, 20_02_28"
-3.9e-07,0.0020104951,0.69755557,-5.7498e-05,0.000119323,8052.8921065330505,"03 04 2019, 20_02_30"
-7.8e-07,0.0020105969,0.69754129,-5.7823e-05,0.000119803,8054.487617969513,"03 04 2019, 20_02_31"
-1.169e-06,0.0020106732,0.69750622,-5.7511e-05,0.000119751,8056.087605714798,"03 04 2019, 20_02_33"
-5.2e-07,0.0020105969,0.69753609,-5.7485e-05,0.000119855,8057.678000688553,"03 04 2019, 20_02_35"
-9.1e-07,0.0020105714,0.69753609,-5.8161e-05,0.00011979,8059.276996135712,"03 04 2019, 20_02_36"
-1.299e-06,0.0020106732,0.69749973,-5.7472e-05,0.000119894,8060.868979215622,"03 04 2019, 20_02_38"
-1.04e-06,0.0020106986,0.69750102,-5.7368e-05,0.000119375,8062.468968153,"03 04 2019, 20_02_39"
-3.9e-07,0.002010546,0.69748414,-5.7927e-05,0.000119362,8064.069031238556,"03 04 2019, 20_02_41"
-1.3e-07,0.0020106478,0.69748804,-5.7992e-05,0.000119375,8065.665824890137,"03 04 2019, 20_02_43"
-3.9e-07,0.0020103425,0.69750102,-5.8135e-05,0.000119738,8067.257858037949,"03 04 2019, 20_02_44"
-3.9e-07,0.002010546,0.69754259,-5.7485e-05,0.000119686,8068.857633590698,"03 04 2019, 20_02_46"
-5.2e-07,0.0020107749,0.69754129,-5.7186e-05,0.000119271,8070.4495844841,"03 04 2019, 20_02_47"
-1.429e-06,0.0020106986,0.69754648,-5.7329e-05,0.000119336,8072.053092241287,"03 04 2019, 20_02_49"
-1.3e-07,0.0020107749,0.69752181,-5.7719e-05,0.000119089,8073.646352529526,"03 04 2019, 20_02_51"
-1.3e-07,0.0020107749,0.69754648,-5.7823e-05,0.000119972,8075.247486829758,"03 04 2019, 20_02_52"
-3.9e-07,0.0020109021,0.69759324,-5.7589e-05,0.00011892,8076.837545156479,"03 04 2019, 20_02_54"
-3.9e-07,0.0020106478,0.6975244,-5.7459e-05,0.000118777,8078.436946630478,"03 04 2019, 20_02_55"
-3.9e-07,0.0020108004,0.69758545,-5.7693e-05,0.000118959,8080.037853479385,"03 04 2019, 20_02_57"
0.0,0.0020107241,0.69753739,-5.7823e-05,0.000118777,8081.6370215415955,"03 04 2019, 20_02_59"
-9.1e-07,0.002010546,0.6975309,-5.8096e-05,0.000118296,8083.234370470047,"03 04 2019, 20_03_00"
-3.9e-07,0.0020105714,0.69749323,-5.8109e-05,0.000119128,8084.830559015274,"03 04 2019, 20_03_02"
1.3e-07,0.0020105206,0.6975309,-5.781e-05,0.000118907,8086.43075299263,"03 04 2019, 20_03_03"
-2.6e-07,0.002010546,0.6975283,-5.7914e-05,0.000119907,8088.027792692184,"03 04 2019, 20_03_05"
0.0,0.0020106223,0.69751921,-5.7732e-05,0.000119933,8089.628111124039,"03 04 2019, 20_03_07"
-7.8e-07,0.0020105969,0.69751921,-5.8031e-05,0.000118933,8091.229120492935,"03 04 2019, 20_03_08"
-1.04e-06,0.0020106478,0.69750232,-5.7836e-05,0.000119323,8092.822452783585,"03 04 2019, 20_03_10"
-1.299e-06,0.002010546,0.69749453,-5.7784e-05,0.000118933,8094.41734623909,"03 04 2019, 20_03_11"
1.3e-07,0.0020107495,0.69751141,-5.7602e-05,0.000118764,8096.019814252853,"03 04 2019, 20_03_13"
-5.2e-07,0.0020105714,0.69748544,-5.8187e-05,0.000119245,8097.6178777217865,"03 04 2019, 20_03_15"
3.9e-07,0.0020104951,0.69754259,-5.742e-05,0.00011905,8099.207266330719,"03 04 2019, 20_03_16"
-1.04e-06,0.0020107495,0.69748414,-5.807e-05,0.000118972,8100.807720422745,"03 04 2019, 20_03_18"
0.0,0.0020103934,0.69750882,-5.7771e-05,0.000119076,8102.4070727825165,"03 04 2019, 20_03_19"
-5.2e-07,0.0020104188,0.69745427,-5.8174e-05,0.000119024,8104.001521110535,"03 04 2019, 20_03_21"
-9.1e-07,0.0020103171,0.69743608,-5.7862e-05,0.000118855,8105.597488164902,"03 04 2019, 20_03_23"
-1.3e-07,0.0020106732,0.69751661,-5.7914e-05,0.000118842,8107.1978714466095,"03 04 2019, 20_03_24"
2.6e-07,0.0020106223,0.69749843,-5.807e-05,0.000118556,8108.79790353775,"03 04 2019, 20_03_26"
-5.2e-07,0.0020106478,0.69749973,-5.8018e-05,0.000118504,8110.397683382034,"03 04 2019, 20_03_27"
-7.8e-07,0.0020103171,0.69747245,-5.7784e-05,0.000118868,8111.99045920372,"03 04 2019, 20_03_29"
-1.3e-07,0.002010546,0.69749063,-5.7966e-05,0.000118465,8113.590563297272,"03 04 2019, 20_03_31"
-9.1e-07,0.0020108258,0.6975231,-5.7732e-05,0.000118296,8115.18842959404,"03 04 2019, 20_03_32"
-1.3e-07,0.0020106478,0.69752051,-5.8057e-05,0.000118452,8116.788465023041,"03 04 2019, 20_03_34"
-3.9e-07,0.002010546,0.69747115,-5.8342e-05,0.000119245,8118.387662887573,"03 04 2019, 20_03_35"
-6.5e-07,0.0020105969,0.69753479,-5.8044e-05,0.000118478,8119.98570227623,"03 04 2019, 20_03_37"
-1.429e-06,0.0020106986,0.69755038,-5.7485e-05,0.000118712,8121.587929487228,"03 04 2019, 20_03_39"
-5.2e-07,0.0020104951,0.69745816,-5.8148e-05,0.000118647,8123.186867713928,"03 04 2019, 20_03_40"
