Time,Current,Voltage
3165.599368,8.39E-07,1.15E-07
3166.955541,7.99E-07,-2.17E-07
3168.312518,7.49E-07,-2.93E-07
3169.675418,7.66E-07,-8.90E-08
3171.031176,8.26E-07,-2.68E-07
3172.388715,8.24E-07,3.80E-08
3173.744162,8.19E-07,-1.30E-08
3175.107144,8.59E-07,-2.55E-07
3176.463438,8.29E-07,5.10E-08
3177.828444,7.22E-07,2.50E-08
3179.179144,8.01E-07,-7.60E-08
3180.538942,7.81E-07,1.91E-07
3181.900555,8.83E-07,-1.78E-07
3183.248301,8.21E-07,1.27E-07
3184.60457,7.44E-07,6.40E-08
3185.961829,8.69E-07,3.19E-07
3187.328415,7.59E-07,1.30E-08
3188.680942,7.71E-07,-7.60E-08
3190.028378,7.84E-07,0
3191.380485,8.54E-07,-1.15E-07
3192.73956,8.31E-07,-2.80E-07
3194.10229,8.41E-07,-2.42E-07
3195.449141,7.99E-07,-1.02E-07
3196.800861,8.34E-07,-8.90E-08
3198.169062,7.94E-07,8.90E-08
3199.528664,8.24E-07,-1.15E-07
3200.878551,7.79E-07,3.31E-07
3202.238244,8.49E-07,-2.93E-07
3203.599246,8.66E-07,-1.66E-07
3204.959854,8.14E-07,-2.93E-07
3206.309908,8.49E-07,-4.59E-07
3207.654079,8.51E-07,-8.90E-08
3209.02256,7.69E-07,0
3210.389244,7.79E-07,-1.30E-08
3211.752329,7.42E-07,2.42E-07
3213.108933,8.14E-07,1.15E-07
3214.448197,7.09E-07,4.21E-07
3215.817987,7.81E-07,-4.21E-07
3217.189363,8.14E-07,3.57E-07
3218.548507,8.14E-07,-1.02E-07
3219.888931,8.49E-07,-3.06E-07
3221.248027,7.57E-07,7.60E-08
3222.628933,8.69E-07,-1.15E-07
3223.993882,8.46E-07,-2.29E-07
3225.348851,7.71E-07,-1.40E-07
3226.718933,8.34E-07,-3.44E-07
3228.064546,8.34E-07,5.10E-08
3229.418708,7.89E-07,-1.27E-07
3230.788874,8.01E-07,-1.15E-07
3232.146514,8.14E-07,-5.10E-08
3233.498693,7.86E-07,0
3234.856695,8.31E-07,-2.17E-07
3236.220175,7.79E-07,3.80E-08
3237.569938,7.96E-07,-2.04E-07
3238.929589,7.22E-07,2.55E-07
3240.278705,8.46E-07,3.82E-07
3241.640548,8.09E-07,2.68E-07
3243.007013,7.09E-07,3.80E-08
3244.365823,8.04E-07,-1.02E-07
3245.719566,7.44E-07,-2.55E-07
3247.086488,8.01E-07,4.46E-07
3248.443176,7.91E-07,0
3249.79921,7.64E-07,1.40E-07
3251.14973,7.66E-07,-3.57E-07
3252.498791,8.26E-07,-2.42E-07
3253.889234,7.84E-07,0
3255.248744,8.06E-07,-2.17E-07
3256.619524,8.16E-07,-2.80E-07
3257.966494,8.11E-07,-1.02E-07
3259.320427,7.74E-07,-1.27E-07
3260.684445,7.44E-07,3.80E-08
3262.047977,7.44E-07,6.40E-08
3263.399248,7.89E-07,-2.17E-07
3264.759659,7.71E-07,2.42E-07
3266.112989,7.07E-07,0
3267.469587,7.64E-07,-1.40E-07
3268.829613,7.71E-07,8.90E-08
3270.180114,7.86E-07,-2.04E-07
3271.532657,8.04E-07,-1.91E-07
3272.899544,7.74E-07,-1.40E-07
3274.249626,7.44E-07,-1.27E-07
3275.60869,8.21E-07,-2.17E-07
3276.962588,8.19E-07,-2.50E-08
3278.329957,7.57E-07,-3.57E-07
3279.676623,7.42E-07,1.66E-07
3281.04304,8.09E-07,-2.17E-07
3282.391632,8.04E-07,-1.02E-07
3283.759876,7.54E-07,2.17E-07
3285.130694,7.62E-07,1.66E-07
3286.479424,8.29E-07,1.15E-07
3287.835326,7.59E-07,7.60E-08
3289.20005,7.29E-07,-2.29E-07
3290.562532,8.14E-07,-8.90E-08
3291.91484,7.14E-07,-2.42E-07
3293.258772,7.86E-07,1.15E-07
3294.619121,7.54E-07,-2.29E-07
3295.979852,7.49E-07,2.93E-07
3297.339306,7.19E-07,1.30E-08
3298.685491,7.96E-07,-5.10E-07
3300.047801,7.22E-07,2.29E-07
3301.410202,8.11E-07,-2.93E-07
3302.765432,7.89E-07,3.06E-07
3304.122265,7.57E-07,1.02E-07
3305.471876,8.04E-07,1.40E-07
3306.834991,6.97E-07,-2.17E-07
3308.210157,7.64E-07,-1.78E-07
3309.560333,7.57E-07,-5.10E-08
3310.922815,6.84E-07,6.40E-08
3312.279487,6.89E-07,-1.15E-07
3313.640059,7.66E-07,-1.53E-07
3314.999877,7.74E-07,-1.02E-07
3316.340964,7.57E-07,1.02E-07
3317.70717,7.07E-07,2.29E-07
3319.072972,8.59E-07,-2.17E-07
3320.419137,8.61E-07,-1.78E-07
3321.774456,8.06E-07,3.06E-07
3323.130912,7.32E-07,7.60E-08
3324.49965,8.06E-07,8.90E-08
3325.852021,7.74E-07,-1.27E-07
3327.21082,7.62E-07,-3.80E-08
3328.561006,7.39E-07,-3.70E-07
3329.919366,7.76E-07,1.02E-07
3331.279148,7.59E-07,-6.40E-08
3332.636619,7.84E-07,-2.80E-07
3333.979089,7.57E-07,1.30E-08
3335.351688,8.14E-07,-2.04E-07
3336.720503,7.86E-07,2.17E-07
3338.085692,7.84E-07,-3.82E-07
3339.440066,7.14E-07,8.90E-08
3340.776474,7.12E-07,-7.60E-08
3342.14152,7.27E-07,-2.93E-07
3343.500083,7.07E-07,1.78E-07
3344.854406,7.76E-07,-2.04E-07
3346.22108,6.99E-07,-1.15E-07
3347.577239,7.42E-07,-2.55E-07
3348.938917,7.84E-07,-2.17E-07
3350.29714,7.49E-07,2.93E-07
3351.649775,7.24E-07,1.27E-07
3353.002438,6.94E-07,2.29E-07
3354.373323,7.94E-07,1.15E-07
3355.724559,7.57E-07,-5.10E-07
3357.07076,6.97E-07,-1.02E-07
3358.430955,7.91E-07,-4.59E-07
3359.790238,7.59E-07,5.10E-08
3361.151702,7.07E-07,2.04E-07
3362.499965,7.47E-07,3.80E-08
3363.860232,7.59E-07,1.40E-07
3365.221202,7.24E-07,7.60E-08
3366.584802,7.64E-07,-4.33E-07
3367.94242,7.91E-07,-1.78E-07
3369.309435,7.14E-07,-3.80E-08
3370.661377,7.59E-07,-1.30E-08
3372.024559,7.64E-07,-5.48E-07
3373.389879,7.39E-07,2.42E-07
3374.74118,7.27E-07,-1.15E-07
3376.09224,7.12E-07,2.04E-07
3377.449912,7.54E-07,8.90E-08
3378.810663,6.40E-07,-6.40E-08
3380.17051,7.29E-07,5.10E-08
3381.520848,7.34E-07,1.40E-07
3382.869874,7.91E-07,1.30E-08
3384.220964,7.74E-07,4.46E-07
3385.590128,6.50E-07,2.55E-07
3386.949807,7.17E-07,0
3388.300337,7.09E-07,-1.78E-07
3389.662656,7.84E-07,1.27E-07
3391.027236,7.34E-07,-2.93E-07
3392.380925,7.34E-07,5.10E-08
3393.730045,7.22E-07,2.29E-07
3395.1001,7.39E-07,-1.91E-07
3396.465472,7.19E-07,-5.10E-08
3397.821506,7.84E-07,-1.30E-08
3399.171469,6.89E-07,2.55E-07
3400.521569,7.49E-07,-2.17E-07
3401.880848,7.07E-07,7.60E-08
3403.251421,7.07E-07,5.35E-07
3404.604086,6.57E-07,-6.40E-08
3405.960175,7.12E-07,-3.70E-07
3407.307827,7.02E-07,-6.40E-08
3408.680506,7.34E-07,-2.42E-07
3410.044096,7.44E-07,-7.60E-08
3411.388182,7.24E-07,-2.80E-07
3412.74109,6.94E-07,-2.93E-07
3414.109598,7.09E-07,1.15E-07
3415.469992,6.94E-07,-2.50E-08
3416.820036,7.14E-07,5.10E-08
3418.181762,6.89E-07,0
3419.540833,6.99E-07,-1.53E-07
3420.902449,6.77E-07,-2.93E-07
3422.25034,6.69E-07,-1.15E-07
3423.592018,6.79E-07,0
3424.962397,8.09E-07,-3.57E-07
3426.322336,6.25E-07,-2.29E-07
3427.670542,7.37E-07,1.40E-07
3429.028489,6.72E-07,2.93E-07
3430.381397,7.39E-07,2.68E-07
3431.751729,6.77E-07,1.27E-07
3433.104577,6.69E-07,2.80E-07
3434.440804,7.09E-07,-6.40E-08
3435.801328,7.07E-07,3.44E-07
3437.172169,7.74E-07,3.80E-08
3438.579999,7.79E-07,-5.61E-07
3439.940946,7.27E-07,-3.06E-07
3441.310203,6.82E-07,-7.60E-08
3442.670194,6.89E-07,2.80E-07
3444.028781,7.22E-07,0
3445.372932,7.22E-07,7.60E-08
3446.73285,8.11E-07,-1.15E-07
3448.102124,5.97E-07,-8.90E-08
3449.450788,7.57E-07,-2.29E-07
3450.810375,7.49E-07,-3.06E-07
3452.162118,7.49E-07,-1.30E-08
3453.5311,6.69E-07,3.19E-07
3454.880969,7.44E-07,4.59E-07
3456.243066,7.27E-07,-3.82E-07
3457.601679,7.47E-07,7.60E-08
3458.962651,7.37E-07,1.53E-07
3460.318515,6.57E-07,-2.50E-08
3461.671493,7.14E-07,-4.21E-07
3463.034362,6.82E-07,-6.40E-08
3464.39318,7.04E-07,-1.53E-07
3465.758243,7.42E-07,-2.68E-07
3467.115915,7.09E-07,-3.06E-07
3468.460699,6.77E-07,-1.30E-08
3469.814046,7.02E-07,-8.90E-08
3471.181978,6.52E-07,6.40E-08
3472.541304,7.14E-07,-1.66E-07
3473.895238,7.22E-07,-4.33E-07
3475.250276,6.97E-07,-1.40E-07
3476.604762,6.97E-07,-1.27E-07
3477.962781,6.32E-07,3.80E-08
3479.324297,6.64E-07,-2.17E-07
3480.681574,7.29E-07,-3.80E-08
3482.05547,6.87E-07,3.80E-08
3483.41054,7.81E-07,2.29E-07
3484.765198,6.57E-07,2.50E-08
3486.124508,6.74E-07,-1.53E-07
3487.481345,7.99E-07,-5.23E-07
3488.832464,7.02E-07,1.78E-07
3490.181588,6.69E-07,-2.68E-07
3491.551363,6.20E-07,2.50E-08
3492.915379,6.99E-07,3.80E-08
3494.270442,6.89E-07,-1.91E-07
3495.620898,7.12E-07,5.10E-08
3496.982182,6.87E-07,-1.15E-07
3498.350116,6.52E-07,-4.21E-07
3499.703696,6.47E-07,-2.50E-08
3501.054793,6.77E-07,-1.40E-07
3502.409523,6.92E-07,-1.91E-07
3503.78239,7.02E-07,7.60E-08
3505.140237,7.47E-07,2.50E-08
3506.492795,6.32E-07,-3.06E-07
3507.845588,6.42E-07,3.95E-07
3509.203443,7.17E-07,-3.31E-07
3510.572767,6.57E-07,-3.19E-07
